client1, get, key5, , time: 25-09-2024 16:33:39
client2, rm, key2, , time: 25-09-2024 16:33:39
client3, set, key5, value0, time: 25-09-2024 16:33:39
client5, rm, key7, , time: 25-09-2024 16:33:39
client4, set, key5, value24, time: 25-09-2024 16:33:39
client6, rm, key9, , time: 25-09-2024 16:33:39
client9, rm, key9, , time: 25-09-2024 16:33:39
client7, set, key1, value28, time: 25-09-2024 16:33:39
client8, set, key3, value43, time: 25-09-2024 16:33:39
client10, get, key8, , time: 25-09-2024 16:33:39
client11, set, key1, value73, time: 25-09-2024 16:33:39
client12, set, key7, value42, time: 25-09-2024 16:33:39
client13, rm, key3, , time: 25-09-2024 16:33:39
client14, get, key3, , time: 25-09-2024 16:33:39
client15, rm, key8, , time: 25-09-2024 16:33:39
client17, get, key1, , time: 25-09-2024 16:33:39
client20, get, key6, , time: 25-09-2024 16:33:39
client22, set, key3, value70, time: 25-09-2024 16:33:39
client23, get, key5, , time: 25-09-2024 16:33:39
client24, rm, key0, , time: 25-09-2024 16:33:39
client25, rm, key3, , time: 25-09-2024 16:33:39
client26, get, key0, , time: 25-09-2024 16:33:39
client27, rm, key9, , time: 25-09-2024 16:33:39
client28, rm, key9, , time: 25-09-2024 16:33:39
client29, set, key7, value76, time: 25-09-2024 16:33:39
client30, get, key1, , time: 25-09-2024 16:33:39
client31, set, key4, value0, time: 25-09-2024 16:33:39
client32, get, key3, , time: 25-09-2024 16:33:39
client33, set, key4, value99, time: 25-09-2024 16:33:39
client34, get, key9, , time: 25-09-2024 16:33:39
client35, rm, key3, , time: 25-09-2024 16:33:39
client36, set, key6, value44, time: 25-09-2024 16:33:39
client37, rm, key6, , time: 25-09-2024 16:33:39
client38, get, key9, , time: 25-09-2024 16:33:39
client39, get, key3, , time: 25-09-2024 16:33:39
client40, set, key8, value22, time: 25-09-2024 16:33:39
client43, set, key0, value7, time: 25-09-2024 16:33:39
client41, get, key1, , time: 25-09-2024 16:33:39
client42, set, key5, value50, time: 25-09-2024 16:33:39
client44, get, key8, , time: 25-09-2024 16:33:39
client45, get, key9, , time: 25-09-2024 16:33:39
client46, set, key8, value85, time: 25-09-2024 16:33:39
client48, rm, key4, , time: 25-09-2024 16:33:39
client49, set, key1, value5, time: 25-09-2024 16:33:39
client50, set, key1, value60, time: 25-09-2024 16:33:39
client51, rm, key7, , time: 25-09-2024 16:33:39
client52, set, key7, value42, time: 25-09-2024 16:33:39
client53, rm, key9, , time: 25-09-2024 16:33:39
client55, rm, key6, , time: 25-09-2024 16:33:39
client57, rm, key9, , time: 25-09-2024 16:33:39
client58, rm, key5, , time: 25-09-2024 16:33:39
client59, get, key0, , time: 25-09-2024 16:33:39
client60, set, key2, value83, time: 25-09-2024 16:33:39
client61, set, key1, value35, time: 25-09-2024 16:33:39
client62, rm, key3, , time: 25-09-2024 16:33:39
client63, rm, key0, , time: 25-09-2024 16:33:39
client65, set, key8, value54, time: 25-09-2024 16:33:39
client66, rm, key0, , time: 25-09-2024 16:33:39
client68, rm, key8, , time: 25-09-2024 16:33:39
client67, set, key3, value61, time: 25-09-2024 16:33:39
client69, rm, key5, , time: 25-09-2024 16:33:39
client70, set, key2, value42, time: 25-09-2024 16:33:39
client71, rm, key2, , time: 25-09-2024 16:33:39
client72, get, key6, , time: 25-09-2024 16:33:39
client73, rm, key3, , time: 25-09-2024 16:33:39
client74, set, key9, value49, time: 25-09-2024 16:33:39
client75, set, key1, value0, time: 25-09-2024 16:33:39
client76, get, key6, , time: 25-09-2024 16:33:39
client77, set, key3, value33, time: 25-09-2024 16:33:39
client78, rm, key1, , time: 25-09-2024 16:33:39
client79, rm, key1, , time: 25-09-2024 16:33:39
client80, rm, key4, , time: 25-09-2024 16:33:39
client81, set, key3, value73, time: 25-09-2024 16:33:39
client82, get, key5, , time: 25-09-2024 16:33:39
client85, rm, key6, , time: 25-09-2024 16:33:39
client84, rm, key3, , time: 25-09-2024 16:33:39
client87, set, key5, value99, time: 25-09-2024 16:33:39
client86, rm, key1, , time: 25-09-2024 16:33:39
client88, get, key5, , time: 25-09-2024 16:33:39
client90, rm, key5, , time: 25-09-2024 16:33:39
client91, get, key6, , time: 25-09-2024 16:33:39
client92, rm, key4, , time: 25-09-2024 16:33:39
client93, set, key2, value17, time: 25-09-2024 16:33:39
client95, set, key4, value16, time: 25-09-2024 16:33:39
client94, rm, key9, , time: 25-09-2024 16:33:39
client96, rm, key7, , time: 25-09-2024 16:33:39
client97, rm, key9, , time: 25-09-2024 16:33:39
client98, set, key8, value24, time: 25-09-2024 16:33:39
client99, get, key6, , time: 25-09-2024 16:33:39
client100, get, key0, , time: 25-09-2024 16:33:39
client101, get, key0, , time: 25-09-2024 16:33:39
client102, rm, key1, , time: 25-09-2024 16:33:39
client103, rm, key7, , time: 25-09-2024 16:33:39
client104, set, key9, value93, time: 25-09-2024 16:33:39
client105, set, key0, value46, time: 25-09-2024 16:33:39
client106, get, key6, , time: 25-09-2024 16:33:39
client19, rm, key5, , time: 25-09-2024 16:33:39
client18, get, key2, , time: 25-09-2024 16:33:39
client16, set, key1, value4, time: 25-09-2024 16:33:39
client107, rm, key9, , time: 25-09-2024 16:33:39
client21, set, key5, value38, time: 25-09-2024 16:33:39
client64, get, key9, , time: 25-09-2024 16:33:39
client108, set, key0, value52, time: 25-09-2024 16:33:39
client109, get, key8, , time: 25-09-2024 16:33:40
client110, set, key2, value45, time: 25-09-2024 16:33:40
client56, get, key9, , time: 25-09-2024 16:33:40
client54, rm, key2, , time: 25-09-2024 16:33:40
client111, set, key6, value30, time: 25-09-2024 16:33:40
client112, set, key6, value63, time: 25-09-2024 16:33:40
client113, set, key4, value69, time: 25-09-2024 16:33:40
client114, rm, key2, , time: 25-09-2024 16:33:40
client83, set, key0, value81, time: 25-09-2024 16:33:40
client115, rm, key9, , time: 25-09-2024 16:33:40
client116, get, key7, , time: 25-09-2024 16:33:40
client89, rm, key4, , time: 25-09-2024 16:33:40
client117, get, key8, , time: 25-09-2024 16:33:40
client118, get, key9, , time: 25-09-2024 16:33:40
client119, rm, key3, , time: 25-09-2024 16:33:40
client120, get, key1, , time: 25-09-2024 16:33:40
client121, rm, key1, , time: 25-09-2024 16:33:40
client122, rm, key4, , time: 25-09-2024 16:33:40
client123, get, key8, , time: 25-09-2024 16:33:40
client124, get, key0, , time: 25-09-2024 16:33:40
client125, rm, key7, , time: 25-09-2024 16:33:40
client126, get, key0, , time: 25-09-2024 16:33:40
client127, rm, key5, , time: 25-09-2024 16:33:40
client128, rm, key6, , time: 25-09-2024 16:33:40
client47, set, key4, value24, time: 25-09-2024 16:33:40
client129, set, key7, value34, time: 25-09-2024 16:33:40
client130, get, key4, , time: 25-09-2024 16:33:40
client131, set, key1, value33, time: 25-09-2024 16:33:40
client132, rm, key7, , time: 25-09-2024 16:33:40
client133, set, key0, value30, time: 25-09-2024 16:33:40
client134, get, key1, , time: 25-09-2024 16:33:40
client135, get, key1, , time: 25-09-2024 16:33:40
client136, rm, key7, , time: 25-09-2024 16:33:40
client137, get, key3, , time: 25-09-2024 16:33:40
client139, get, key0, , time: 25-09-2024 16:33:40
client140, get, key8, , time: 25-09-2024 16:33:40
client138, get, key8, , time: 25-09-2024 16:33:40
client141, set, key9, value27, time: 25-09-2024 16:33:40
client142, set, key1, value82, time: 25-09-2024 16:33:40
client143, rm, key1, , time: 25-09-2024 16:33:40
client144, set, key3, value21, time: 25-09-2024 16:33:40
client145, rm, key6, , time: 25-09-2024 16:33:40
client146, set, key4, value64, time: 25-09-2024 16:33:40
client147, rm, key3, , time: 25-09-2024 16:33:40
